[18.600000381469727, 60.60000228881836, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:17:35
[18.600000381469727, 60.60000228881836, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:17:38
[18.600000381469727, 60.60000228881836, 18.200000762939453, 59.79999923706055, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:17:41
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:17:45
[18.600000381469727, 60.60000228881836, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.29999923706055];05.04.2022 -- 18:17:48
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.29999923706055];05.04.2022 -- 18:17:51
[18.600000381469727, 60.5, 18.200000762939453, 59.79999923706055, 18.399999618530273, 53.0, 18.100000381469727, 52.29999923706055];05.04.2022 -- 18:17:54
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.29999923706055];05.04.2022 -- 18:17:57
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:18:01
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.79999923706055, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:18:04
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:18:07
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:18:10
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:18:14
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:18:17
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:18:20
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:18:23
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:18:27
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:18:30
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.10000228881836, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:18:33
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:18:36
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:18:40
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.10000228881836, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:18:43
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.10000228881836, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:18:46
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.10000228881836, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:18:49
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.10000228881836, 18.100000381469727, 52.29999923706055];05.04.2022 -- 18:18:53
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.0, 18.100000381469727, 52.20000076293945];05.04.2022 -- 18:18:56
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.0, 18.100000381469727, 52.20000076293945];05.04.2022 -- 18:18:59
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.0, 18.100000381469727, 52.20000076293945];05.04.2022 -- 18:19:02
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.10000228881836, 18.100000381469727, 52.29999923706055];05.04.2022 -- 18:19:06
[18.600000381469727, 60.29999923706055, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:09
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:12
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:15
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.29999923706055, 18.100000381469727, 52.5];05.04.2022 -- 18:19:19
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.29999923706055, 18.100000381469727, 52.5];05.04.2022 -- 18:19:22
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:25
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:28
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:32
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:19:35
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.10000228881836, 18.100000381469727, 52.400001525878906];05.04.2022 -- 18:19:38
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:41
[18.600000381469727, 60.29999923706055, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:45
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:48
[18.600000381469727, 60.29999923706055, 18.200000762939453, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:51
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.20000076293945, 18.100000381469727, 52.5];05.04.2022 -- 18:19:54
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.29999923706055, 18.100000381469727, 52.60000228881836];05.04.2022 -- 18:19:58
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.29999923706055, 18.100000381469727, 52.60000228881836];05.04.2022 -- 18:20:01
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.70000076293945, 18.200000762939453, 53.29999923706055, 18.100000381469727, 52.60000228881836];05.04.2022 -- 18:20:04
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.60000228881836, 18.30000114440918, 53.29999923706055, 18.100000381469727, 52.60000228881836];05.04.2022 -- 18:20:07
[18.600000381469727, 60.400001525878906, 18.100000381469727, 59.70000076293945, 18.200000762939453, 53.400001525878906, 18.100000381469727, 52.70000076293945];05.04.2022 -- 18:20:11
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.70000076293945, 18.30000114440918, 53.400001525878906, 18.100000381469727, 52.60000228881836];05.04.2022 -- 18:20:14
